,country,code,anxiety,drugs,depression,alcohol,terroristActs,happiness,loggdp,life,suicide,gdp,population,actsToPop
119,Trinidad and Tobago,TTO,4.625738484,0.723886676,3.340664351,1.725221779,5,6.393689156,10.33392406,62.73500061,10.63461469,30849.68898,1340695.091,0.000372941
120,Tunisia,TUN,5.058113264,1.641010372,3.910518093,0.650833725,94,4.809179094,9.262852351,65.684444,3.269481356,10416.49229,10898438.64,0.000862509
121,Turkey,TUR,3.906835975,1.476498742,3.761391694,0.770670768,1614,5.358348543,9.925149309,64.85818204,3.202172695,20613.71318,74820873.91,0.002157152
122,Turkmenistan,TKM,2.558870143,0.510887842,2.828871973,2.75519148,1,5.7387622,9.488486171,60.65499974,9.446767959,12172.45342,5287398.182,1.89129E-05
123,Uganda,UGA,3.493134554,0.536308365,5.115906365,1.289730149,64,4.26504794,7.359551646,51.83818193,12.93456346,1574.553491,36474973.82,0.000175463
124,Ukraine,UKR,2.938432118,0.679412065,4.152558365,4.900063011,1678,4.733970035,8.994462447,62.68000031,22.86958191,8068.582132,45612936.91,0.003678781
125,United Arab Emirates,ARE,4.225729907,2.987545588,2.870521617,0.76394583,5,6.877728833,11.04198859,66.50888909,5.153044332,64830.05399,8395412.636,5.95563E-05
126,United Kingdom,GBR,4.659258891,1.728100279,4.120148737,1.894905365,822,6.872140321,10.53945888,71.38363578,7.361608717,37795.47276,63692764.82,0.00129057
127,United States,USA,6.704947822,3.12063051,4.783422844,2.016319387,300,7.119617592,10.84295134,68.54000022,12.12612106,51199.77145,313662027.1,9.56443E-05
128,Uruguay,URY,6.296701347,0.940250465,3.549156633,1.148361191,1,6.260119005,9.794394406,68.26909083,16.75845207,18052.5582,3397272.273,2.94354E-05
129,Uzbekistan,UZB,2.551560707,0.470200216,2.888154261,1.985979218,3,5.770105743,8.497780323,63.6579998,9.579333991,4839.314033,29649945.45,1.01181E-05
131,Vietnam,VNM,2.039474574,0.67156071,2.891451686,1.702387692,2,5.293232354,8.482979774,66.83090904,7.62391956,4885.63019,90567992.18,2.20829E-06
133,Zambia,ZMB,3.572638607,0.501512992,3.539895475,1.631418485,2,4.671472383,8.118687534,51.22400017,13.28463818,3365.302677,14785447.73,1.35268E-05
134,Zimbabwe,ZWE,3.091497435,0.759336716,3.130455054,1.511016655,15,4.085842436,7.421449705,49.39272725,30.11525988,1692.025446,14800606.09,0.000101347
